School_Name,School_Type,Specialisation,Campus_Name,Campus_Type,Campus_Address_Line_1,Campus_Address_Town,Campus_Address_State,Campus_Postcode,School_Phone,School_Website,Managed_Enrolments,Campus_Status,Campus_Year_Levels,primary_2020,year7_2020,year8_2020,year9_2020,year10_2020,year11_2020,year12_2020,DET_Region,type,Zone,Entity_Code,juniorsec_2020,seniorsec_2020,singlesex_2020,specialist_2020
Middle Park Primary School,Primary,,Middle Park Primary School,Primary,194 Richardson Street,Middle Park,VIC,"3206",03 9690 1336,http://www.middleparkps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Non standard,Yes,"1281501",,,,
Milawa Primary School,Primary,,Milawa Primary School,Primary,133 Milawa-Bobinawarrah Road,Milawa,VIC,"3678",03 5727 3243,http://www.milawaps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North East,Shortest path,Yes,"1073701",,,,
Mildura Primary School,Primary,,Mildura Primary School,Primary,175-189 San Mateo Avenue,Mildura,VIC,"3500",03 5023 1851,http://www.milduraps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North West,Shortest path,Yes,"1291501",,,,
Mildura South Primary School,Primary,,Mildura South Primary School,Primary,593 Deakin Avenue,Mildura South,VIC,"3501",03 5023 2148,http://www.msps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North West,Shortest path,Yes,"1438901",,,,
Mildura West Primary School,Primary,,Mildura West Primary School,Primary,219-227  Ninth Street,Mildura,VIC,"3500",03 5023 1336,http://www.mildurawestps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North West,Shortest path,Yes,"1398301",,,,
Milgate Primary School,Primary,,Milgate Primary School,Primary,96 Landscape Drive,Doncaster East,VIC,"3109",03 9842 7744,http://www.milgateps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1521201",,,,
Mill Park Heights Primary School,Primary,,Mill Park Heights Primary School,Primary,87-93 Pindari Avenue,Mill Park,VIC,"3082",03 9436 8866,http://www.millparkhtsps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North West,Straight line,Yes,"1532501",,,,
Mill Park Primary School,Primary,,Mill Park Primary School,Primary,Blamey Avenue,Mill Park,VIC,"3082",03 9404 3337,http://www.millparkps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North West,Straight line,Yes,"1516001",,,,
Millwarra Primary School,Primary,,Millgrove Campus,Primary,Cavanagh Road,Millgrove,VIC,"3799",03 5966 2518,http://www.millwarraps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1544101",,,,
Millwarra Primary School,Primary,,Warburton East Campus,Primary,397 Woods Point Road,East Warburton,VIC,"3799",03 5966 2518,http://www.millwarraps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1544102",,,,
Miners Rest Primary School,Primary,,Miners Rest Primary School,Primary,Dundas Street,Miners Rest,VIC,"3352",03 5334 6328,http://www.minersrestps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1173901",,,,
Minyip Primary School,Primary,,Minyip Primary School,Primary,21 Main Street,Minyip,VIC,"3392",03 5385 7485,http://minyipps.vic.edu.au/web/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1216701",,,,
Mirboo North Primary School,Primary,,Mirboo North Primary School,Primary,Balook Street,Mirboo North,VIC,"3871",03 5668 1375,http://mirboonorthps.wixsite.com/official,,Open,Prep to 6,x,,,,,,,South East,Shortest path,Yes,"1238301",,,,
Mitcham Primary School,Primary,,Mitcham Primary School,Primary,294 Mitcham Road,Mitcham,VIC,"3132",03 9873 1551,http://www.mitcham.ps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1290401",,,,
Mitta Mitta Primary School,Primary,,Mitta Mitta Primary School,Primary,27 Giltrap Road,Mitta Mitta,VIC,"3701",02 6072 3570,https://www.mitta-mittaps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Shortest path,Yes,"1088701",,,,
Moe (Albert Street) Primary School,Primary,,Moe (Albert Street) Primary School,Primary,40 Albert Street,Moe,VIC,"3825",03 5127 1966,http://www.aspsmoe.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Shortest path,Yes,"1214201",,,,
Moe (South Street) Primary School,Primary,,Moe (South Street) Primary School,Primary,34 South Street,Moe,VIC,"3825",03 5127 1512,http://www.moe-southst-ps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Shortest path,Yes,"1466201",,,,
Moe Primary School,Primary,,Moe Primary School,Primary,Cnr Elizabeth & King Streets,Moe,VIC,"3825",03 5127 2607,http://www.elizabethstps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Shortest path,Yes,"1474001",,,,
Monbulk Primary School,Primary,,Monbulk Primary School,Primary,1 Main Road,Monbulk,VIC,"3793",03 9756 6481,http://www.monbulkps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1326501",,,,
Monmia Primary School,Primary,,Monmia Primary School,Primary,Copernicus Way,Keilor Downs,VIC,"3038",03 9364 1007,http://www.monmia.vic.edu.au,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1533601",,,,
Mont Albert Primary School,Primary,,Mont Albert Primary School,Primary,Barloa Road,Mont Albert,VIC,"3127",03 9890 1331,http://www.maps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1394301",,,,
Montmorency Primary School,Primary,,Montmorency Primary School,Primary,60a Rattray Road,Montmorency,VIC,"3094",03 9434 5944,http://www.montmorencyps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North West,Straight line,Yes,"1411201",,,,
Montmorency South Primary School,Primary,,Montmorency South Primary School,Primary,64 Buena Vista Drive,Montmorency,VIC,"3094",03 9439 6201,http://www.montysouth.vic.edu.au,,Open,Prep to 6,x,,,,,,,North West,Straight line,Yes,"1492501",,,,
Montpellier Primary School,Primary,,Montpellier Primary School,Primary,21-31 Lambhill Crescent,Highton,VIC,"3216",03 5243 2521,http://www.montpellierps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1497201",,,,
Montrose Primary School,Primary,,Montrose Primary School,Primary,17-21 Leith Road,Montrose,VIC,"3765",03 9728 2203,http://www.montroseps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1225901",,,,
Moolap Primary School,Primary,,Moolap Primary School,Primary,30 Wills Cres,Moolap,VIC,"3221",03 5248 2284,http://www.moolapps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1191101",,,,
Moomba Park Primary School,Primary,,Moomba Park Primary School,Primary,111 Anderson Road,Fawkner,VIC,"3060",03 9359 2028,http://www.moombaparkps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North West,Straight line,Yes,"1487601",,,,
Moonambel Primary School,Primary,,Moonambel Primary School,Primary,24 Humffray Street,Moonambel,VIC,"3478",03 5467 2223,,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1168301",,,,
Moonee Ponds Primary School,Primary,,Moonee Ponds Primary School,Primary,87 Wilson Street,Moonee Ponds,VIC,"3039",03 9375 2511,http://www.mpc.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1398701",,,,
Moonee Ponds West Primary School,Primary,,Moonee Ponds West Primary School,Primary,150 Athol Street,Moonee Ponds,VIC,"3039",03 9370 6875,http://www.mooneewestps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1290101",,,,
Moorabbin Primary School,Primary,,Moorabbin Primary School,Primary,61 Worthing Road,Moorabbin,VIC,"3189",03 9555 1101,http://www.moorabbin.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1111101",,,,
Moorooduc Primary School,Primary,,Moorooduc Primary School,Primary,Cnr Derril Rd & Mornington Tyabb Rd,Moorooduc,VIC,"3933",03 5978 8330,http://www.moorooducps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1232701",,,,
Mooroolbark East Primary School,Primary,,Mooroolbark East Primary School,Primary,Taylor Road,Mooroolbark,VIC,"3138",03 9726 9422,http://www.meps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1505901",,,,
Mooroopna North Primary School,Primary,,Mooroopna North Primary School,Primary,835 Ardmona Road,Mooroopna,VIC,"3629",03 5829 0141,https://www.mnps1612.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Shortest path,Yes,"1161201",,,,
Mooroopna Park Primary School,Primary,,Mooroopna Park Primary School,Primary,45 MacIsaac Road,Mooroopna,VIC,"3629",03 5825 3856,http://www.mpps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North East,Shortest path,Yes,"1508801",,,,
Mooroopna Primary School,Primary,,Mooroopna Primary School,Primary,16-18 O'Brien Street,Mooroopna,VIC,"3629",03 5825 2060,http://www.mooroopna.vic.edu.au,,Open,Prep to 6,x,,,,,,,North East,Shortest path,Yes,"1143201",,,,
Morang South Primary School,Primary,,Morang South Primary School,Primary,77 Gorge Road,South Morang,VIC,"3752",03 9404 1548,http://www.morangsouthps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North West,Straight line,Yes,"1197501",,,,
Mordialloc Beach Primary School,Primary,,Mordialloc Beach Primary School,Primary,58 Barkly Street,Mordialloc,VIC,"3195",03 9580 1468,http://www.mordiallocps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1084601",,,,
Moreland Primary School,Primary,,Moreland Primary School,Primary,157-163 Moreland Road,Coburg,VIC,"3058",03 9386 2510,http://www.morelandps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North West,Straight line,Yes,"1283701",,,,
Moriac Primary School,Primary,,Moriac Primary School,Primary,785 Hendy Main Road,Moriac,VIC,"3240",03 5266 1298,http://www.moriacps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1411701",,,,
Mornington Park Primary School,Primary,,Mornington Park Primary School,Primary,Robertson Drive,Mornington,VIC,"3931",03 5975 4011,http://www.morningtonparkps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1504001",,,,
Mornington Primary School,Primary,,Mornington Primary School,Primary,Vale Street,Mornington,VIC,"3931",03 5976 5500,http://www.morningtonps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1203301",,,,
Morwell Central Primary School,Primary,,Morwell Central Primary School,Primary,47 - 87 McDonald Street,Morwell,VIC,"3840",03 5136 5568,http://www.morwellcentralps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Shortest path,Yes,"1556801",,,,
Morwell Park Primary School,Primary,,Hazelwood Estate,Alt Ed,Hazelwood Estate,Yinnar,VIC,"3869",03 5134 1793,http://www.morwellparkps.vic.edu.au,,O,,,,,,,,,South East,NA,No,"1497502",,,,
Morwell Park Primary School,Primary,,Morwell Park Primary School,Primary,76 - 82 Vary Street,Morwell,VIC,"3840",03 5134 1793,http://www.morwellparkps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Shortest path,Yes,"1497501",,,,
Mossfiel Primary School,Primary,,Mossfiel Primary School,Primary,Langridge Street,Hoppers Crossing,VIC,"3029",03 9749 1227,http://www.mossfielps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1500201",,,,
Mossgiel Park Primary School,Primary,,Mossgiel Park Primary School,Primary,71 Scotsburn Way,Endeavour Hills,VIC,"3802",03 9709 7777,http://www.mossgielparkps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1520501",,,,
Mount Beauty Primary School,Primary,,Mount Beauty Primary School,Primary,Lakeside Avenue,Mount Beauty,VIC,"3699",03 5754 4354,http://www.mtbeautyps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Shortest path,Yes,"1464401",,,,
Mount Blowhard Primary School,Primary,,Mount Blowhard Primary School,Primary,527 Millers Road,Blowhard,VIC,"3352",03 5334 6354,http://www.mountbhps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1203701",,,,
Mount Clear Primary School,Primary,,Mount Clear Primary School,Primary,1206 Geelong Road,Mount Clear,VIC,"3350",03 5330 1844,http://www.mountclearps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1042701",,,,
Mount Dandenong Primary School,Primary,,Mount Dandenong Primary School,Primary,Farndons Road,Mount Dandenong,VIC,"3767",03 9751 1136,http://www.mtdandps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1328401",,,,
Mount Duneed Regional Primary School,Primary,,Mount Duneed Regional Primary School,Primary,90-100 Williams Road,Mount Duneed,VIC,"3217",03 5264 1230,http://www.mtduneedregps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1538001",,,,
Mount Egerton Primary School,Primary,,Mount Egerton Primary School,Primary,58 Church Street,Mount Egerton,VIC,"3352",03 5368 9357,http://www.mtegertonps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1191801",,,,
Mount Eliza North Primary School,Primary,,Mount Eliza North Primary School,Primary,6 Moseley Drive,Mount Eliza,VIC,"3930",03 9787 6611,http://www.menps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1514001",,,,
Mount Eliza Primary School,Primary,,Mount Eliza Primary School,Primary,Wooralla Drive,Mount Eliza,VIC,"3930",03 9787 1385,http://www.mtelizaps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1136801",,,,
Mount Evelyn Primary School,Primary,,Mount Evelyn Primary School,Primary,33 Monbulk Road,Mount Evelyn,VIC,"3796",03 9736 2233,http://www.mtevelynps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1364201",,,,
Mount Macedon Primary School,Primary,,Mount Macedon Primary School,Primary,641 Mount Macedon Road,Mount Macedon,VIC,"3441",03 5426 1446,https://www.mtmacedonps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North West,Shortest path,Yes,"1041501",,,,
Mount Martha Primary School,Primary,,Mount Martha Primary School,Primary,37 - 55 Glenisla Drive,Mount Martha,VIC,"3934",03 5974 2800,http://www.mtmarthaps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1517101",,,,
Mount Pleasant Primary School,Primary,,Mount Pleasant Primary School,Primary,401 Cobden Street,Ballarat,VIC,"3350",03 5332 3646,http://www.mtpleasps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1143601",,,,
Mount Pleasant Road Nunawading Primary School,Primary,,Mount Pleasant Road Nunawading Primary School,Primary,Mt Pleasant Road,Nunawading,VIC,"3131",03 9878 1730,http://www.mtpleasantroadps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1480801",,,,
Mount View Primary School,Primary,,Mount View Deaf Facility,Deaf,Shepherd Road,Glen Waverley,VIC,"3150",03 9560 0471,http://www.mountviewps.vic.edu.au,,O,,,,,,,,,North East,NA,No,"1492302",,,,
Mount View Primary School,Primary,,Mount View Primary School,Primary,Shepherd Road,Glen Waverley,VIC,"3150",03 9560 0471,http://www.mountviewps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1492301",,,,
Mount Waverley Heights Primary School,Primary,,Mount Waverley Heights Primary School,Primary,36 Solomon Street,Mount Waverley,VIC,"3149",03 9807 8120,https://mountwaverleyheightsps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1483201",,,,
Mount Waverley North Primary School,Primary,,Mount Waverley North Primary School,Primary,Marcus Avenue,Mount Waverley,VIC,"3149",03 9802 3168,http://www.mtwavnth.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1543001",,,,
Mount Waverley Primary School,Primary,,Mount Waverley Primary School,Primary,37-45 Park Lane,Mount Waverley,VIC,"3149",03 9807 1480,http://www.mountwaverleyps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1343201",,,,
Mountain Gate Primary School,Primary,,Mountain Gate Primary School,Primary,Adele Avenue,Ferntree Gully,VIC,"3156",03 9758 2811,http://www.mountaingateps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1490501",,,,
Movelle Primary School,Primary,,Movelle Primary School,Primary,39 Gum Road,KINGS PARK,VIC,"3021",03 9366 8892,http://www.movelleps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1513901",,,,
Moyhu Primary School,Primary,,Moyhu Primary School,Primary,2799 Wangaratta-Whitfield Road,Moyhu,VIC,"3732",03 5727 9298,http://moyhups.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Shortest path,Yes,"1133501",,,,
Moyston Primary School,Primary,,Moyston Primary School,Primary,1349 Ararat-Halls Gap Road,Moyston,VIC,"3377",03 5354 2537,http://www.moystonps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1126301",,,,
Mulgrave Primary School,Primary,,Mulgrave Primary School,Primary,Gladeswood Drive,Mulgrave,VIC,"3170",03 9795 2477,http://www.mulgraveps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1217201",,,,
Mullum Primary School,Primary,,Mullum Primary School,Primary,18 Panfield Avenue,Ringwood,VIC,"3134",03 9870 2120,http://www.mullumps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1488601",,,,
Murchison Primary School,Primary,,Murchison Primary School,Primary,8-10 Impey Street,Murchison,VIC,"3610",03 5826 2391,https://www.murchps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Shortest path,Yes,"1112601",,,,
Murrabit Group School,Primary,,Murrabit Group School,Primary,61 Browning Avenue,Murrabit,VIC,"3579",03 5457 2284,http://www.murrabitps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North West,Shortest path,Yes,"1385901",,,,
Murrumbeena Primary School,Primary,,Murrumbeena Primary School,Primary,Hobart Road,Murrumbeena,VIC,"3163",03 9568 1300,http://www.murrumbeenaps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1344901",,,,
Myrniong Primary School,Primary,,Myrniong Primary School,Primary,13 Muddy Lane,Myrniong,VIC,"3341",03 5368 7232,http://www.myrniongps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1048701",,,,
Myrrhee Primary School,Primary,,Myrrhee Primary School,Primary,1673 Benalla-whitfield Road,Myrrhee,VIC,"3732",03 5729 7524,http://www.myrrheeps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Shortest path,Yes,"1267701",,,,
Nagambie Primary School,Primary,,Nagambie Primary School,Primary,31 Goulburn Street,Nagambie,VIC,"3608",03 5794 2273,http://www.nps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North East,Shortest path,Yes,"1110401",,,,
Nambrok Denison Primary School,Primary,,Nambrok Denison Primary School,Primary,947 Sale-Cowwarr Road,Nambrok,VIC,"3847",03 5149 2410,http://nambrok-denisonps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Shortest path,Yes,"1539501",,,,
Nangiloc Colignan and District Primary School,Primary,,Nangiloc Colignan And District Primary School,Primary,2612 Kulkyne Way,Nangiloc,VIC,"3494",03 5029 1483,http://www.nangilocps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North West,Shortest path,Yes,"1540201",,,,
Nanneella Estate Primary School,Primary,,Nanneella Estate Primary School,Primary,159 Bennett Road,Nanneella,VIC,"3561",03 5484 5395,http://www.nanneella-estate-ps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North West,Shortest path,Yes,"1370801",,,,
Napoleons Primary School,Primary,,Napoleons Primary School,Primary,4721 Colac-Ballarat Road,Napoleons,VIC,"3352",03 5342 0414,http://www.napoleonsps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1107201",,,,
Nar Nar Goon Primary School,Primary,,Nar Nar Goon Primary School,Primary,27 Spencer Street,Nar Nar Goon,VIC,"3812",03 5942 5311,http://narnargoonps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1224801",,,,
Narracan Primary School,Primary,,Narracan Primary School,Primary,32 School Road,Narracan,VIC,"3824",03 5634 8215,http://www.narracanps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Shortest path,Yes,"1229501",,,,
Narrawong District Primary School,Primary,,Narrawong District Primary School,Primary,Princes Highway,Narrawong,VIC,"3285",03 5529 5375,,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1538201",,,,
Narre Warren North Primary School,Primary,,Narre Warren North Primary School,Primary,15-31 A'beckett Road,Narre  Warren  North,VIC,"3804",03 9796 8261,http://www.narrewarrennorthps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1190101",,,,
Nathalia Primary School,Primary,,Nathalia Primary School,Primary,5 Bromley Street,Nathalia,VIC,"3638",03 5866 2677,http://www.nathaliaps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North East,Shortest path,Yes,"1206001",,,,
Natimuk Primary School,Primary,,Natimuk Primary School,Primary,38 Old Noradjuha Road,Natimuk,VIC,"3409",03 5387 1367,http://www.natimukps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1154801",,,,
Natte Yallock Primary School,Primary,,Natte Yallock Primary School,Primary,10 School Road,Natte Yallock,VIC,"3465",03 5462 2386,http://www.natte-yallock-ps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1134701",,,,
Navarre Primary School,Primary,,Navarre Primary School,Primary,High Street,Navarre,VIC,"3384",03 5357 4256,http://navarreprimaryschool.weebly.com/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1133001",,,,
Neerim District Rural Primary School,Primary,,Neerim District Rural Primary School,Primary,145 Nayook-Powelltown Road,Nayook,VIC,"3832",03 5628 4415,http://www.ndrps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Shortest path,Yes,"1539401",,,,
Neerim South Primary School,Primary,,Neerim South Primary School,Primary,180 Main Neerim Road,Neerim South,VIC,"3831",03 5628 1254,http://www.neerimsouthps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Shortest path,Yes,"1243201",,,,
New Gisborne Primary School,Primary,,New Gisborne Primary School,Primary,239 Station Road,New Gisborne,VIC,"3438",03 5428 2232,http://www.newgisps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North West,Shortest path,Yes,"1046701",,,,
Newborough East Primary School,Primary,,Newborough East Primary School,Primary,300 Old Sale Road,Newborough,VIC,"3825",03 5126 1399,http://www.neps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Shortest path,Yes,"1467001",,,,
Newborough Primary School,Primary,,Newborough Primary School,Primary,24 Murray Road,Newborough,VIC,"3825",03 5127 1448,http://www.newboroughps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Shortest path,Yes,"1465001",,,,
Newbury Primary School,Primary,,Newbury Primary School,Primary,202-226 Newbury Boulevard,Craigieburn,VIC,"3064",03 8691 6900,http://newburyps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North West,Straight line,Yes,"1554501",,,,
Newcomb Park Primary School,Primary,,Newcomb Park Primary School,Primary,7 - 25 Richard Street,Newcomb,VIC,"3219",03 5248 4176,http://www.newcombparkps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1544401",,,,
Newham Primary School,Primary,,Newham Primary School,Primary,1271 Rochford Road,Newham,VIC,"3442",03 5427 0235,http://www.newhamps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North West,Shortest path,Yes,"1191301",,,,
Newhaven Primary School,Primary,,Newhaven Primary School,Primary,12-22 School Avenue,Newhaven,VIC,"3925",03 5956 7326,http://www.newhavenps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Shortest path,Yes,"1305301",,,,
Newlands Primary School,Primary,,Newlands Primary School,Primary,2-26 Murphy Street,Preston,VIC,"3072",03 9354 2928,http://www.newportlakesps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North West,Straight line,Yes,"1464601",,,,
Newlyn Primary School,Primary,,Newlyn Primary School,Primary,2701 Midland Highway,Newlyn,VIC,"3364",03 5345 7222,http://www.newlynps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1045301",,,,
Newmerella Primary School,Primary,,Newmerella Primary School,Primary,2-4 McLaughlins Road,Newmerella,VIC,"3886",03 5154 1620,http://www.newmerellaps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Shortest path,Yes,"1293001",,,,
Newport Gardens Primary School,Primary,,Hobsons Bay Campus,Primary,Cnr Woods St & Maddox Rd,Newport,VIC,"3015",03 9391 2168,http://www.newportgardensps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1466501",,,,
Newport Lakes Primary School,Primary,,Newport Lakes Primary School,Primary,Elizabeth Street,Newport,VIC,"3015",03 9391 8942,http://www.newlandsps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1011301",,,,
Newstead Primary School,Primary,,Newstead Primary School,Primary,28 Lyons Street,Newstead,VIC,"3462",03 5476 2226,http://www.newsteadps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North West,Shortest path,Yes,"1045201",,,,
Newtown Primary School,Primary,,Newtown Primary School,Primary,Aberdeen Street,Newtown,VIC,"3220",03 5229 9730,http://www.newtownps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1188701",,,,
Nichols Point Primary School,Primary,,Nichols Point Primary School,Primary,110 Koorlong Avenue,Nichols Point,VIC,"3501",03 5023 1633,http://www.nicholspointps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North West,Shortest path,Yes,"1316301",,,,
Nicholson Primary School,Primary,,Nicholson Primary School,Primary,Princes Highway,Nicholson,VIC,"3882",03 5156 8220,http://www.nicholson-ps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Shortest path,Yes,"1171601",,,,
Niddrie Primary School,Primary,,Niddrie Primary School,Primary,25 Watt Street,Niddrie,VIC,"3042",03 9379 6587,http://www.niddrieps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1541001",,,,
Nilma Primary School,Primary,,Nilma Primary School,Primary,76 Bloomfield Road,Nilma,VIC,"3821",03 5623 2963,http://www.nilmaps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Shortest path,Yes,"1271201",,,,
Noble Park Primary School,Primary,,Noble Park Primary School,Primary,65 Buckley Street,Noble Park,VIC,"3174",03 9546 8811,http://www.nobleparkps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1367501",,,,
Noojee Primary School,Primary,,Noojee Primary School,Primary,65 School Road,Noojee,VIC,"3833",03 5628 9558,http://www.noojeeps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Shortest path,Yes,"1409801",,,,
Noorat Primary School,Primary,,Noorat Primary School,Primary,MacKinnon's Bridge Road,Noorat,VIC,"3265",03 5592 5282,http://www.nooratps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1117801",,,,
